filename,image_url,listing_url,rent,area_m2,layout,location
00029.jpg,https://img01.suumo.com/front/gazo/fr/bukken/885/100434363885/100434363885_co.jpg,https://suumo.jp/chintai/jnc_000098062373/?bc=100434363885,24.9万円,64.4m2,3LDK,東京都荒川区荒川４
00030.jpg,https://img01.suumo.com/front/gazo/fr/bukken/705/100426832705/100426832705_co.jpg,https://suumo.jp/chintai/jnc_000097096782/?bc=100426832705,25.8万円,67.65m2,3LDK,東京都荒川区荒川４
00031.jpg,https://img01.suumo.com/front/gazo/fr/bukken/752/100429387752/100429387752_co.jpg,https://suumo.jp/chintai/jnc_000097508446/?bc=100429387752,26.1万円,67.65m2,3LDK,東京都荒川区荒川４
00032.jpg,https://img01.suumo.com/front/gazo/fr/bukken/261/100431156261/100431156261_co.jpg,https://suumo.jp/chintai/jnc_000097756484/?bc=100431156261,16.2万円,44.24m2,2DK,東京都荒川区荒川５
00033.jpg,https://img01.suumo.com/front/gazo/fr/bukken/288/100431156288/100431156288_co.jpg,https://suumo.jp/chintai/jnc_000097756485/?bc=100431156288,19.2万円,55.09m2,2LDK,東京都荒川区荒川５
00034.jpg,https://img01.suumo.com/front/gazo/fr/bukken/451/100441165451/100441165451_co.jpg,https://suumo.jp/chintai/jnc_000098926502/?bc=100441165451,13.5万円,45m2,2LDK,東京都荒川区東日暮里４
00035.jpg,https://img01.suumo.com/front/gazo/fr/bukken/419/100440782419/100440782419_co.jpg,https://suumo.jp/chintai/jnc_000048521728/?bc=100440782419,9万円,60.61m2,3LDK,東京都足立区扇２
00036.jpg,https://img01.suumo.com/front/gazo/fr/bukken/666/100440967666/100440967666_co.jpg,https://suumo.jp/chintai/jnc_000098959948/?bc=100440967666,18.7万円,73.79m2,3LDK,東京都荒川区南千住８
00037.jpg,https://img01.suumo.com/front/gazo/fr/bukken/505/100440974505/100440974505_co.jpg,https://suumo.jp/chintai/jnc_000099013987/?bc=100440974505,16万円,41.88m2,2DK,東京都荒川区東日暮里４
00038.jpg,https://img01.suumo.com/front/gazo/fr/bukken/517/100436393517/100436393517_co.jpg,https://suumo.jp/chintai/jnc_000098316542/?bc=100436393517,17万円,52.04m2,2LDK,東京都荒川区東日暮里４
00039.jpg,https://img01.suumo.com/front/gazo/fr/bukken/101/100441167101/100441167101_co.jpg,https://suumo.jp/chintai/jnc_000099029550/?bc=100441167101,11.5万円,38.63m2,1LDK,東京都荒川区荒川６
00040.jpg,https://img01.suumo.com/front/gazo/fr/bukken/052/100434825052/100434825052_co.jpg,https://suumo.jp/chintai/jnc_000050213587/?bc=100434825052,9万円,25.8m2,1K,東京都荒川区西日暮里１
00041.jpg,https://img01.suumo.com/front/gazo/fr/bukken/999/100441180999/100441180999_co.jpg,https://suumo.jp/chintai/jnc_000096740255/?bc=100441180999,18万円,51.21m2,2LDK,東京都荒川区西日暮里１
00042.jpg,https://img01.suumo.com/front/gazo/fr/bukken/473/100440773473/100440773473_co.jpg,https://suumo.jp/chintai/jnc_000098974058/?bc=100440773473,11万円,40.62m2,1LDK,東京都葛飾区亀有２
